#only-hot-women	1	1	GIF	NONE
#w-y-s-f	1	1	GIF	NONE
1001spankingfantasies	1	1	GIF	NONE
2016-bdsm-schoolgirls	1	1	GIF	NONE
2016-bdsm-spanking	1	0	GIF	NONE
4ra-k	1	1	GIF	NONE
64cardinals	1	0	GIF	NONE
66monza	1	1	GIF	NONE
a-a-s-s-k	1	1	GIF	NONE
abcabc1212	1	1	GIF	NONE
abeautifulridethrulife	1	1	GIF	NONE
abusedasses	1	1	GIF	NONE
acrossmylap	1	1	GIF	NONE
adominanthand	1	1	GIF	NONE
adominantsprogress	1	0	GIF	NONE
adur2000	1	1	GIF	NONE
adventurebuns1	1	1	GIF	NONE
aertzkomplex	1	1	GIF	NONE
afterspankingglow	1	1	GIF	NONE
agathe-punie	1	1	GIF	NONE
agnesnahas	1	1	GIF	NONE
agonyspanking	1	1	GIF	NONE
aguidinghand	1	1	GIF	NONE
akazya	1	0	GIF	NONE
akubrachick-dislikes	1	1	GIF	NONE
al1983z	1	1	GIF	NONE
alandaviesdisciplinarian	1	1	GIF	NONE
albinoknife	0	0	GIF	NONE
alcoholic-dog-mom	1	1	GIF	NONE
alcovesparisiennes	1	0	GIF	NONE
alekch4	1	1	GIF	NONE
alexandr2378	1	1	GIF	NONE
alexinspankingland	1	0	GIF	NONE
alias-alias	1	1	GIF	NONE
alice-is-wet	1	1	GIF	NONE
alice-littlegirl	1	1	GIF	NONE
alice215685	1	1	GIF	NONE
aliceblushes	1	1	GIF	NONE
alicelilgirl	1	1	GIF	NONE
aliens-in-love	1	1	GIF	NONE
alittlebitcheeky	1	1	GIF	NONE
all-booty	1	1	GIF	NONE
alley-the-princess	1	1	GIF	NONE
allie-elizabeth31	1	1	GIF	NONE
allisonspankingfantasy	1	1	GIF	NONE
allkman	0	1	GIF	NONE
allmymostfavouritethings	1	1	GIF	NONE
allthespankings	1	1	GIF	NONE
alwaysnaughty-blog	1	1	GIF	NONE
amariseliane	1	1	GIF	NONE
amateurbuttsplus	1	1	GIF	NONE
amateurnakednudies	1	1	GIF	NONE
amazingtaliyah-spanking	1	1	GIF	NONE
amnasonov	1	0	GIF	NONE
an-ineffable-life	1	1	GIF	NONE
anachroniqueprincessa	1	0	GIF	NONE
analwife	1	1	GIF	NONE
ananvi1101	1	1	GIF	NONE
andiunion	0	0	GIF	NONE
andyratuk	1	1	GIF	NONE
anewspankee	1	1	GIF	NONE
angel6babyy	1	1	GIF	NONE
angelomysterios0	1	1	GIF	NONE
anintrovertswhip	1	1	GIF	NONE
annoyingwizard	1	1	GIF	NONE
anonfitcouple	1	1	GIF	NONE
anothersuicidegiirl	1	1	GIF	NONE
anticipate-the-rod	1	1	GIF	NONE
apologyofhiddendesires	1	1	GIF	NONE
appliedrattan	1	1	GIF	NONE
approbativefascination	1	1	GIF	NONE
aproperhandful	1	1	GIF	NONE
archiveofpunishments	1	0	GIF	NONE
artbyluxje	1	1	GIF	NONE
aryon111	1	1	GIF	NONE
asajones2	0	1	GIF	NONE
asdred	1	1	GIF	NONE
asianbeautyass	1	0	GIF	NONE
aspankedwife	1	1	GIF	NONE
aspankingbdsmblog	1	1	GIF	NONE
ass-spanking	1	1	GIF	NONE
ass-ume-the-position	1	1	GIF	NONE
assandcat	1	1	GIF	NONE
assbrats-blog	1	1	GIF	NONE
assburnerberlinblog	1	1	GIF	NONE
asschahat	1	1	GIF	NONE
asscortgirl	1	1	GIF	NONE
assesnbutts	1	1	GIF	NONE
asslov	1	1	GIF	NONE
assplugclub	1	1	GIF	NONE
asstag	1	1	GIF	NONE
assumetheposition369	1	1	GIF	NONE
assumethepositionlittleone	1	1	GIF	NONE
assumethepositionstudios	1	1	GIF	NONE
assumethepositionx	1	1	GIF	NONE
asswhippers	1	1	GIF	NONE
asubssoul2013	1	1	GIF	NONE
asurbanipalus	1	1	GIF	NONE
atmospheric-beauty	1	0	GIF	NONE
atpspanking	1	0	GIF	NONE
atxvoyeur	1	1	GIF	NONE
aubenoire	1	1	GIF	NONE
audreyknightspanking360	1	1	GIF	NONE
auntieagony	1	1	GIF	NONE
autumnwyne	1	0	GIF	NONE
awesomepleasantpatrolbouquet	1	1	GIF	NONE
azotadas	1	1	GIF	NONE
b3683	1	1	GIF	NONE
babby-gurl	1	1	GIF	NONE
babesintightshorts	1	1	GIF	NONE
baby--sass	1	1	GIF	NONE
baby-got-back-bubble	1	1	GIF	NONE
babygirlrn89	1	1	GIF	NONE
babyjenks13	1	1	GIF	NONE
babysofft	1	1	GIF	NONE
babysubmissive	0	0	GIF	NONE
babyswitch	1	1	GIF	NONE
badboy4spanking	1	0	GIF	NONE
badboytospank	1	1	GIF	NONE
badnaughtymommy	1	1	GIF	NONE
baesaesthetics	1	1	GIF	NONE
balthusix	1	0	GIF	NONE
bare-bottom-spanking	1	1	GIF	NONE
bare-bottoms-115	1	1	GIF	NONE
bareassappreciation	1	1	GIF	NONE
barebackspankbottoms	0	0	GIF	NONE
barebottomspankings	1	1	GIF	NONE
barefeetwhippings	0	1	GIF	NONE
barefeetwhippings	1	1	GIF	NONE
barefootspanking	1	0	GIF	NONE
barefootspankings-blog	1	0	GIF	NONE
bareherself	1	1	GIF	NONE
bareskingypsies	1	1	GIF	NONE
batman4vr	1	1	GIF	NONE
batslaveboyblog	1	1	GIF	NONE
baybeegirl87	1	1	GIF	NONE
bbbsha	1	1	GIF	NONE
bbgirl-lana-blog	1	1	GIF	NONE
bbgurl82	1	1	GIF	NONE
bbybrattybee	1	1	GIF	NONE
bdsm69	1	1	GIF	NONE
bdsmandblowjobs	1	0	GIF	NONE
bdsmgeek	0	0	GIF	NONE
beasty-spankingmeagan	1	1	GIF	NONE
beastyspanking-enna	1	1	GIF	NONE
beastyspankingflorence	1	1	GIF	NONE
beastyspankingtabitha	1	1	GIF	NONE
beateduisburg	1	1	GIF	NONE
beatenabusedandbruised	1	0	GIF	NONE
beautieseverywhere007	1	1	GIF	NONE
beautifullybruised	1	1	GIF	NONE
beautyanal	1	1	GIF	NONE
becauseheisincharge	1	1	GIF	NONE
belles-jeunes-femmes	1	1	GIF	NONE
belowpantiessecrets	1	1	GIF	NONE
beltromance	1	1	GIF	NONE
belts-to-bottoms	1	1	GIF	NONE
bendoverandgrabyourankles	1	1	GIF	NONE
bendoverhoney	1	0	GIF	NONE
benhdover	1	1	GIF	NONE
berenicepro	1	0	GIF	NONE
beresgt9ijw2	1	1	GIF	NONE
best-spanking-pictures	1	0	GIF	NONE
bethanywantsaspanking	1	1	GIF	NONE
bibliophile-exhibitionism	1	1	GIF	NONE
bibliotecaerotica	1	1	GIF	NONE
big-b71	1	1	GIF	NONE
bigbottombabes	1	1	GIF	NONE
bigdaddyspankmehard	1	1	GIF	NONE
biggirlspanker	1	1	GIF	NONE
biglove2016	1	1	GIF	NONE
bigwhootycentral	1	1	GIF	NONE
billenkoek	1	1	GIF	NONE
billenmeisje	1	1	GIF	NONE
bimenyjob	1	1	GIF	NONE
blackdomesticdiscipline	1	1	GIF	NONE
blisteredbottoms	1	1	GIF	NONE
blisteredbutts	1	1	GIF	NONE
blog.alittlebitcheeky	1	1	GIF	NONE
blog.corwinprescott.com	1	1	GIF	NONE
blogabroad	1	0	GIF	NONE
blogcarabas	1	1	GIF	NONE
bloodcaning	1	1	GIF	NONE
blop33	1	1	GIF	NONE
bobspornblog	1	1	GIF	NONE
boise-discipline-spanking	1	1	GIF	NONE
bombbitches	0	0	GIF	NONE
books-and-spankings	1	1	GIF	NONE
bootiesbeingspanked	1	1	GIF	NONE
bootyfullwifey	1	0	GIF	NONE
bootyoptics	1	1	GIF	NONE
bottom-spanking	1	1	GIF	NONE
bottom-x	1	0	GIF	NONE
bottomless-girl	1	1	GIF	NONE
bottomless-ladyz	1	1	GIF	NONE
bottomless-sluts	1	1	GIF	NONE
bottomlessisbeautiful	1	1	GIF	NONE
boubuster	1	0	GIF	NONE
boundbabe	1	1	GIF	NONE
boybehavinbadly	1	1	GIF	NONE
bratsusie	1	1	GIF	NONE
breathingwhispers	1	1	GIF	NONE
briansbelt	1	1	GIF	NONE
brianspanks	1	1	GIF	NONE
brightbottom	1	1	GIF	NONE
brightgirlotk	1	1	GIF	NONE
brightredcheeks	1	1	GIF	NONE
bringbackthecane	1	1	GIF	NONE
britishspanking	1	1	GIF	NONE
bruisedbabypeach	1	1	GIF	NONE
bruisedbehinds	1	1	GIF	NONE
bruisedgirls666	1	0	GIF	NONE
bruisedlittlekitty	1	0	GIF	NONE
bruisedw0nderland	1	0	GIF	NONE
bruisesbycandelight	1	1	GIF	NONE
brusherman	0	0	GIF	NONE
brutalspanko69	1	0	GIF	NONE
bruttor	1	1	GIF	NONE
bryan1959	1	1	GIF	NONE
bspanked	1	1	GIF	NONE
bubblebuttt	1	1	GIF	NONE
buckbuster	1	1	GIF	NONE
bunsinthesun	0	0	GIF	NONE
butt-spankinga	1	1	GIF	NONE
butt-titts-different	1	0	GIF	NONE
buttcheekfan	1	1	GIF	NONE
buttsbuttsbuttz	1	0	GIF	NONE
bvbfan89	1	1	GIF	NONE
byorderofthecourt	1	1	GIF	NONE
byron43	1	1	GIF	NONE
cadillacdoofus	1	1	GIF	NONE
callmedaddypdx	1	1	GIF	NONE
canachello	1	0	GIF	NONE
cane-iac	1	1	GIF	NONE
caneaslutday	1	1	GIF	NONE
canecorso1974	1	1	GIF	NONE
caned	1	1	GIF	NONE
canedane	1	1	GIF	NONE
canedbottoms	1	1	GIF	NONE
canedbotton	0	0	GIF	NONE
canedkim	1	1	GIF	NONE
canedreamer	1	1	GIF	NONE
caneinhand	1	1	GIF	NONE
canelines76	1	1	GIF	NONE
canemedaddy	1	0	GIF	NONE
canemeharder	1	1	GIF	NONE
canestripes	1	1	GIF	NONE
caningblondewu	1	1	GIF	NONE
cappyx	1	1	GIF	NONE
captainredtush	1	1	GIF	NONE
captrdhrt	1	1	GIF	NONE
carcarcharadon	1	1	GIF	NONE
carlos1001	1	1	GIF	NONE
carolinaspanked	1	1	GIF	NONE
carpet-beater	0	0	GIF	NONE
casalputaria	1	1	GIF	NONE
caseyharker	1	0	GIF	NONE
cat0106	1	0	GIF	NONE
cathrynns-spanking	1	1	GIF	NONE
catonhtr	1	1	GIF	NONE
cazaresj23	1	1	GIF	NONE
cd-painlover	1	1	GIF	NONE
cecile-soumise	1	0	GIF	NONE
cellulitebums	1	1	GIF	NONE
cflyers7576	1	0	GIF	NONE
chaistrainer	0	0	GIF	NONE
chastise-me	1	1	GIF	NONE
cheekyminx69	1	0	GIF	NONE
cheerios3833	1	0	GIF	NONE
cherrycheeksspankings	1	1	GIF	NONE
cherryderriere	1	1	GIF	NONE
cherryredness	1	1	GIF	NONE
chestermol	1	1	GIF	NONE
chiefspanker	1	1	GIF	NONE
chilternpete	1	1	GIF	NONE
chism-dominickts1n54	1	1	GIF	NONE
chloeheaven	1	0	GIF	NONE
choicebutts	1	1	GIF	NONE
chrisjohnson2210	1	0	GIF	NONE
chronicallyababe	1	1	GIF	NONE
chubbysubmissiveworld	1	1	GIF	NONE
citizencane2015	1	1	GIF	NONE
citizncane	1	1	GIF	NONE
cl0thes0ff	0	1	GIF	NONE
closely-watched-bottoms	1	1	GIF	NONE
clothedmalenudefemale	1	1	GIF	NONE
collarblack	0	0	GIF	NONE
conflicted-me27	1	1	GIF	NONE
corner-po-laniu	1	1	GIF	NONE
cornertimepunishment-blog	1	0	GIF	NONE
corppun78	1	1	GIF	NONE
cowgirlru	1	1	GIF	NONE
cptwentworth	1	1	GIF	NONE
cravingdiscipline-blog-blog	1	0	GIF	NONE
crazy-world-aint-it	1	0	GIF	NONE
creepshotdepot	1	1	GIF	NONE
crimsonredbottom	1	1	GIF	NONE
cryinglipcurlingbdsm	1	1	GIF	NONE
cstowe1957	1	1	GIF	NONE
culottee	1	1	GIF	NONE
culottes-pour-filles	1	1	GIF	NONE
cumkittycat	1	1	GIF	NONE
curiouslifestyle	1	1	GIF	NONE
curly-kinky	0	0	GIF	NONE
cute-little-butts	1	0	GIF	NONE
cutemagicbottom	1	1	GIF	NONE
cutie-spankee	1	1	GIF	NONE
cutiepiessexyspankings	1	1	GIF	NONE
cutiesandbooties	1	0	GIF	NONE
dad42	1	1	GIF	NONE
daddy-is-a-sadist	1	0	GIF	NONE
daddy-sbrat	1	0	GIF	NONE
daddy	1	1	GIF	NONE
daddy239	1	1	GIF	NONE
daddybimbaccia	1	1	GIF	NONE
daddyinvirginia	1	1	GIF	NONE
daddylove20	1	0	GIF	NONE
daddypunishandspankme	1	1	GIF	NONE
daddyredspanks	1	1	GIF	NONE
daddys--cherry--blossom	1	1	GIF	NONE
daddys-kitttycat	1	1	GIF	NONE
daddys-sweet-kitten00	1	0	GIF	NONE
daddysbabydoll19	1	0	GIF	NONE
daddysfilthypainslut	1	1	GIF	NONE
daddyskittykitty	1	0	GIF	NONE
daddyslittlepeasant	1	1	GIF	NONE
daddyslittlesubmissives	1	1	GIF	NONE
daddyspankmeplz	1	1	GIF	NONE
daddyspanksher	1	0	GIF	NONE
daddysprincess12716	1	1	GIF	NONE
daddyssexfantasies	1	1	GIF	NONE
daddyssub	1	0	GIF	NONE
daddyswhores16	1	1	GIF	NONE
daddywantskitten	1	1	GIF	NONE
dailybums	1	0	GIF	NONE
dailyspankings	1	1	GIF	NONE
dangerousstarfishreview	1	0	GIF	NONE
danroberts1983	1	1	GIF	NONE
dante7503	1	1	GIF	NONE
daphne-nl	1	1	GIF	NONE
dark39	1	1	GIF	NONE
darkartisangentleman	1	1	GIF	NONE
darthspanker	1	1	GIF	NONE
daultimate27	1	1	GIF	NONE
dd4alana	1	1	GIF	NONE
dddp1973	1	0	GIF	NONE
ddgreenbay	1	1	GIF	NONE
ddhoh	1	0	GIF	NONE
ddyslttlegrl	1	1	GIF	NONE
deadfishbone	1	1	GIF	NONE
deanofnaughtytown	1	1	GIF	NONE
debdee69	1	1	GIF	NONE
deculottee	1	1	GIF	NONE
deddy-44	1	1	GIF	NONE
dee4075	1	1	GIF	NONE
deknaps	1	1	GIF	NONE
del2172	1	1	GIF	NONE
delightfuldread	1	1	GIF	NONE
delightfulpenguinduck	1	1	GIF	NONE
deniselikesit	1	1	GIF	NONE
denverspanker	1	1	GIF	NONE
derblaueengel	1	1	GIF	NONE
derekspanks	1	1	GIF	NONE
derrutenspiegel	1	1	GIF	NONE
desipunishments	1	0	GIF	NONE
desiresofz	1	1	GIF	NONE
despot999	1	1	GIF	NONE
desseins-coquins	1	1	GIF	NONE
devious-panther	1	1	GIF	NONE
diaryofanymphette	1	1	GIF	NONE
diaryofdiscipline	1	1	GIF	NONE
die-andere-seite-von-mir	1	1	GIF	NONE
dieuso	1	1	GIF	NONE
dik71	1	1	GIF	NONE
dillman73efy	1	1	GIF	NONE
dirtystuffilike	1	1	GIF	NONE
disciplinarium	1	0	GIF	NONE
discipline-matters	1	1	GIF	NONE
disciplinecentral	1	1	GIF	NONE
disciplinedays	1	1	GIF	NONE
disciplineone	1	1	GIF	NONE
disciplineotk	1	1	GIF	NONE
disobedient-kitkat	1	1	GIF	NONE
disobedientyounglady	1	1	GIF	NONE
divine-asses	1	1	GIF	NONE
djbev	1	1	GIF	NONE
dmestcdscplne	1	1	GIF	NONE
dmitri1717	1	1	GIF	NONE
docepalmada	1	1	GIF	NONE
docerdocer	1	1	GIF	NONE
dom4her	1	1	GIF	NONE
domanddaddy	1	1	GIF	NONE
domesticated-wife	1	1	GIF	NONE
domesticdisciplinarianbliss	1	1	GIF	NONE
domesticdisciplinedigest	1	1	GIF	NONE
domesticdisciplinetoo-blog	1	1	GIF	NONE
dominance-and-love	1	1	GIF	NONE
dominantdaddysir	1	1	GIF	NONE
dominateguy	1	1	GIF	NONE
domination-art	1	1	GIF	NONE
dominatrix-babes	1	1	GIF	NONE
dominion-alyssa	1	1	GIF	NONE
domofslaves	1	1	GIF	NONE
domspo-subspo	1	1	GIF	NONE
doninantpassion	1	1	GIF	NONE
donnie100	1	0	GIF	NONE
donttellmyfriendswhatiminto	1	1	GIF	NONE
dopekoala	1	1	GIF	NONE
down-with-panties	1	1	GIF	NONE
dr1nks4u2	1	1	GIF	NONE
dre23456	1	1	GIF	NONE
dreamshots	1	0	GIF	NONE
dreamsofspanking	1	1	GIF	NONE
drfsrc	1	1	GIF	NONE
duckie510	1	1	GIF	NONE
dundee47	1	1	GIF	NONE
dutchpunishment	1	0	GIF	NONE
dutchspanko	1	1	GIF	NONE
dv8foto	1	0	GIF	NONE
earlybedtimepunishments	1	0	GIF	NONE
earlybedtimepunishments	1	1	GIF	NONE
eastlondon08242014	1	1	GIF	NONE
eatmysweetcherry	1	0	GIF	NONE
edithhamilton	1	0	GIF	NONE
educatoresevero	1	1	GIF	NONE
eenslaved	1	1	GIF	NONE
eenuf	1	0	GIF	NONE
eliza-is-wet	1	1	GIF	NONE
elliefairy	1	0	GIF	NONE
emilia-wiese0e2q15p	1	0	GIF	NONE
enloe446rkj5	1	1	GIF	NONE
erica729	1	1	GIF	NONE
ernesthemingwayerotica	1	1	GIF	NONE
erosunbound	1	0	GIF	NONE
erotic-nonfiction	1	1	GIF	NONE
erotica-nautica	1	0	GIF	NONE
eroticsubmission	1	1	GIF	NONE
excellentspanking	1	1	GIF	NONE
exgfgallery	1	1	GIF	NONE
exposed-spankings	1	1	GIF	NONE
exxxxxxxxxmortis	1	1	GIF	NONE
faceienev	1	1	GIF	NONE
faeriecumslut	1	1	GIF	NONE
fairbutfirm	1	0	GIF	NONE
fan-of-her	1	1	GIF	NONE
fantasiesofrape	1	1	GIF	NONE
fantasticspanking	1	1	GIF	NONE
farmd0gsrevenge	1	1	GIF	NONE
fat-bottom-girls	1	0	GIF	NONE
fatassblondes	1	1	GIF	NONE
favoritespanking	1	1	GIF	NONE
femme-cutie	1	0	GIF	NONE
fessee	1	1	GIF	NONE
fessee24000	1	1	GIF	NONE
fesseeculnu	1	1	GIF	NONE
fesseedeculottee	1	1	GIF	NONE
fesses-rouges	1	1	GIF	NONE
fesseur70	1	1	GIF	NONE
fetch-the-slipper	1	1	GIF	NONE
fettefette	1	1	GIF	NONE
ffaiirrm	1	1	GIF	NONE
ffmfspankingarchive	1	0	GIF	NONE
filthyandfun	1	1	GIF	NONE
fireball666	1	1	GIF	NONE
firesubmissive	1	1	GIF	NONE
firmbutfairmatureman	1	1	GIF	NONE
firmhanddad	1	1	GIF	NONE
firmhandlefty	1	1	GIF	NONE
firmpunishment	1	1	GIF	NONE
fishnet-fantasies	1	1	GIF	NONE
fkk-teens-nudisten	1	1	GIF	NONE
flaotk82	1	1	GIF	NONE
fleminglarryfleming	1	0	GIF	NONE
flowery-brat	1	1	GIF	NONE
fluffornuther	1	1	GIF	NONE
fmtrng	1	1	GIF	NONE
fontaineart	1	1	GIF	NONE
forbetterorforworsespankings	1	1	GIF	NONE
forestwalker780	1	1	GIF	NONE
forever-learning	1	1	GIF	NONE
foreverme-mandyb	1	1	GIF	NONE
friendshipfirst1	1	1	GIF	NONE
frspanko	1	1	GIF	NONE
fuc-me-rite	1	1	GIF	NONE
fuckyeahbuttplugs	1	1	GIF	NONE
fuckyeahspanking	1	1	GIF	NONE
fullblazeyouth	1	1	GIF	NONE
fullholes-emptyhead	1	1	GIF	NONE
furrytigersublime	1	1	GIF	NONE
garcesafesser	1	1	GIF	NONE
geborgenheitundsubmission	1	1	GIF	NONE
gemmitalia	1	1	GIF	NONE
genishas-daddy	1	1	GIF	NONE
genre-pun	1	1	GIF	NONE
georg434	1	1	GIF	NONE
geronimo2069	1	1	GIF	NONE
gerta68	1	1	GIF	NONE
get-naked-or-get-banned	1	1	GIF	NONE
gettingspanked	1	1	GIF	NONE
gettod75	1	1	GIF	NONE
getyournudeon	1	1	GIF	NONE
gg1070	1	1	GIF	NONE
ggachiri-ggajuri	1	1	GIF	NONE
giannimusica	1	1	GIF	NONE
gin-and-catatonic	1	1	GIF	NONE
girlbutts	1	1	GIF	NONE
girlfriendtraining	1	0	GIF	NONE
girls-in-striped-socks	1	1	GIF	NONE
girlsbigtits	1	1	GIF	NONE
girlsbums	1	1	GIF	NONE
girlsgetspanked	1	1	GIF	NONE
girlsintubesocks	1	1	GIF	NONE
girlspankee	1	1	GIF	NONE
girlspanker	1	0	GIF	NONE
girlspunishednaked	1	0	GIF	NONE
girlspunishment	1	1	GIF	NONE
girltrainer	1	1	GIF	NONE
girly-innocence	1	1	GIF	NONE
glasgowspank	1	1	GIF	NONE
go-bare-bottom	1	1	GIF	NONE
goblaster	1	1	GIF	NONE
golfgti8	1	1	GIF	NONE
good-kittens-obey	1	1	GIF	NONE
goodasdaddy	1	1	GIF	NONE
goodgirlluna	1	1	GIF	NONE
goodgirlsneedspankingtoo	1	1	GIF	NONE
goodgrrrl4u	1	1	GIF	NONE
goodlittlered	1	1	GIF	NONE
goodlittleunistudent	1	0	GIF	NONE
goodmorningpain	1	0	GIF	NONE
goodpainpain	1	1	GIF	NONE
goreanway	1	1	GIF	NONE
grabthehairbrush	1	1	GIF	NONE
gracespankingdesirable	1	1	GIF	NONE
grant1973	1	1	GIF	NONE
greatspankingygifmadness	1	1	GIF	NONE
grisslay	1	1	GIF	NONE
groupstrip	1	0	GIF	NONE
grrlbitesdog	1	1	GIF	NONE
gymshoe69	1	1	GIF	NONE
hairbrushme7777	1	1	GIF	NONE
halfcheek-halfstory	1	1	GIF	NONE
hammrrhead	1	1	GIF	NONE
handprintspank	1	0	GIF	NONE
handspanking	1	1	GIF	NONE
handspankingfun	1	1	GIF	NONE
hankatplay	1	1	GIF	NONE
hannatausen	1	1	GIF	NONE
hard-spanking	1	1	GIF	NONE
hardassminion	1	1	GIF	NONE
hardhandsworld	1	1	GIF	NONE
hardharshheavy	0	1	GIF	NONE
hashmalsimha	1	1	GIF	NONE
havenisse	1	1	GIF	NONE
haveyouseenthisbooty	1	0	GIF	NONE
heart-smacker	1	1	GIF	NONE
heater97	1	1	GIF	NONE
hellobubblebutts	1	1	GIF	NONE
hellolollo150497	1	1	GIF	NONE
hellothere-princess	1	1	GIF	NONE
hendersonm384	1	1	GIF	NONE
henrydme	1	0	GIF	NONE
her-bottom-needs-spanking	1	1	GIF	NONE
her-bottom-needs-spanking	1	1	GIF	NONE
her-master	0	1	GIF	NONE
hersassymouthintolerant	1	1	GIF	NONE
highfalutinfoxywoman	1	1	GIF	NONE
hold-me--down	1	1	GIF	NONE
holdmn1	1	1	GIF	NONE
home-kink	1	1	GIF	NONE
homespanker	1	1	GIF	NONE
horny-chickdeedee	1	0	GIF	NONE
horny-spanking-christi	1	1	GIF	NONE
horny-spanking-iliana	1	1	GIF	NONE
horny-spankingmalinda	1	1	GIF	NONE
horny-womansammy	1	1	GIF	NONE
hornyslut-campbell	1	1	GIF	NONE
hornyslut-lyndsey	1	1	GIF	NONE
hornyspanking-adrianne	1	1	GIF	NONE
hornyspanking-caterina	1	1	GIF	NONE
hornyspankingsuzanne	1	1	GIF	NONE
hot-audriana-spanking	1	1	GIF	NONE
hot-girl-roxie	1	1	GIF	NONE
hot-slut-ulrica	1	1	GIF	NONE
hot-spanking-ellie	1	1	GIF	NONE
hot-spanking-emely	1	1	GIF	NONE
hot-spanking-hanna	1	1	GIF	NONE
hot-suzyspanking	1	1	GIF	NONE
hot-woman-amirah	1	1	GIF	NONE
hot-woman-janelle	1	0	GIF	NONE
hotandsore	1	1	GIF	NONE
hotcreepshot	1	1	GIF	NONE
hotgirl-dulcie	1	0	GIF	NONE
hotnerissa-spanking	1	1	GIF	NONE
hotspanking-dolly	1	1	GIF	NONE
hotspanking-hope	1	1	GIF	NONE
hotspankings	1	1	GIF	NONE
hotspankingursula	1	1	GIF	NONE
